"","T_DIR","T_ID","EN-DIR"
"T_DIR",28.4067085953878,2.77777777777778,3.73864430468204
"T_ID",2.55066387141859,25.1222921034242,5.83508036338225
"EN-DIR",2.3759608665269,5.43326345213138,23.759608665269
